id,raw_news_id,title,url,content,source,category,published_at,content_length,status,created_at,updated_at
31,1,De-Brainrot Vacations,https://devz.cl/posts/i-spent-my-vacations-de-brainrotting/,De-Brainrot Vacations,https://news.ycombinator.com/news,기타,,21,skipped_short_content,2026-09-08T02:48:32,2026-09-08T03:42:12
32,2,bzip3,https://github.com/iczelia/bzip3,bzip3,https://news.ycombinator.com/news,기타,,5,skipped_short_content,2026-09-08T02:48:32,2026-09-08T04:10:08
33,3,Keep Our Servers Running,https://blog.archive.org/2026/09/01/keep-our-servers-running-your-recurring-donation-goes-3x-this-september/,Keep Our Servers Running,https://news.ycombinator.com/news,기타,,24,skipped_short_content,2026-09-08T02:48:32,2026-09-08T04:10:08
34,4,Caltech Mathathon – first hackathon ever devoted to research level mathematics,https://mathathonchallenge.com/index.html,Caltech Mathathon – first hackathon ever devoted to research level mathematics,https://news.ycombinator.com/news,기타,,78,summarized,2026-09-08T02:48:32,2026-09-08T05:17:22
35,5,Simple Is Not Small,https://jyn.dev/simple-is-not-the-same-as-small/,Simple Is Not Small,https://news.ycombinator.com/news,기타,,19,skipped_short_content,2026-09-08T02:48:32,2026-09-08T04:11:04
36,6,[속보]초대 중수청장 최종 후보자에 보완수사권 폐지 공개 반대했던 ‘검찰 출신’ 김지용 변호사 - 경향신문,https://news.google.com/rss/articles/CBMiWkFVX3lxTFB0Y0I1T1E2SjdyV2ctTjViQzI1MjBadWFQb2lGb1U5a3pUak05NXBBVXJqTkVIQ0Y0d2p6NXVHWnNDMnlRczhQeGFibUM0dlNBQ04yYkJnTUltQdIBX0FVX3lxTE1WZmItQWRZbUpLR0NyTzhDUDZELTFwNmNNU1EzbDRKOVBPcGpmTDRoVjZqMi13SmVzbm9Pdk1wYV9nX19LOFlQLVJJTjlzVHJVSlNFTjB4RmJSdHNNNUtN?oc=5,"[속보]초대 중수청장 최종 후보자에 보완수사권 폐지 공개 반대했던 ‘검찰 출신’ 김지용 변호사 경향신문 전 춘천지검장 김지용, 초대 중수청장 후보 낙점 v.daum.net 초대 중수청장 최종 후보에 검찰 출신 김지용 변호사 MBC 뉴스 혁신당, 검찰 출신 중수청장 후보에 “강력한 우려…검찰 관행 답습 가능성” KBS 뉴스 檢출신 김지용 초대 중수청장 제청… 수사 매뉴얼도 입법예고 서울Pn",주요 뉴스 - Google 뉴스,기타,2026-09-07T07:01:00+00:00,218,summarized,2026-09-08T02:48:32,2026-09-08T05:17:30
37,7,"“강신철, 장남 양지마을 상가 은폐…재산내역서 빠져” - 동아일보",https://news.google.com/rss/articles/CBMid0FVX3lxTFBNaVN3b2E4MUUteXRVWWE0LVNFOFFlOUpjcGJWSE13UzFya01OeEhrNHNGcDVpMkFGcFpCb3JKbzd1MUhXVUh5dG5Fa1A3NC0ybmNQdkNTTWQxVU1YVll6Q3NkOXhBWk91OUJURXkwZEh2NUlmYVdz0gFmQVVfeXFMT1hLUTRjaWoxZmN6aU5jZl9TWFZMUEp0NGFsR2pRVFYtbEwtWEtjU0ZEbHhvbjB4Wjc3WS01R0phQi1VdU5CRndxZHBkcER0UWc4X05yNFdMSHBPQWxGVmhqVWczYVFB?oc=5,"“강신철, 장남 양지마을 상가 은폐…재산내역서 빠져” 동아일보 강신철 96년생 아들, 7억원 상가 매입…“외가 쪽 가족과 차용증 작성” 증여세 피하려했나 경향신문 천하람 ""아들 양지마을 상가 매입 은폐""‥강신철 ""누락 발견해 조치"" MBC 뉴스 강신철 후보자 측 ""인사청문안 재산 목록서 아들 부동산 누락‥추가 제출"" v.daum.net 천하람 “강신철, 위장전입해 아파트 부정청약” 주장에 姜 “사실 아냐” 국제신문",주요 뉴스 - Google 뉴스,기타,2026-09-07T06:55:00+00:00,233,summarized,2026-09-08T02:48:32,2026-09-08T05:17:38
38,8,"이 대통령, 전도연·김도연과 셀카…“아내가 꼭 찍어오래서” - hani.co.kr",https://news.google.com/rss/articles/CBMia0FVX3lxTE8wVUhqS1ZtaS1hbmZPQ0dBd21VNnJWYXJiWEd2alV3ZFE5ZUlxT29TUXhWdzY3X0tBdmpvbWwtTGhQTG5EZ0o0aU1RTFQ2S1hVLXQyTlFjVzg5N0hFTGtEdEtneDRQWFo2QnNR?oc=5,"이 대통령, 전도연·김도연과 셀카…“아내가 꼭 찍어오래서” hani.co.kr 이 대통령, 프랑스서 이창동·전도연·설경구 등 영화인과 대화 [뉴시스Pic] 뉴시스 한·프, 영화·영상산업에 각각 5억 유로 투자…""위기를 기회로"" 대한민국 정책브리핑 李대통령 ""끝없는 자원과 잠재력, 제작비도 걱정 없어""…K-콘텐츠 세일즈 news1.kr 한-프, 장관급 ‘전략산업대화’ 신설…산업·통상·공급망 전략적 협력체계 지디넷코리아",주요 뉴스 - Google 뉴스,기타,2026-09-07T14:28:00+00:00,234,cleaned,2026-09-08T02:48:32,2026-09-08T02:48:32
39,9,"한동훈 “신약 로비, ‘민주당 오빠들 게이트’”…김승원 이어 최재성 녹취도 - hani.co.kr",https://news.google.com/rss/articles/CBMickFVX3lxTE5MMFRsS0ZTS2JTSm1qc21WZDgxQUNZTHd4Wmx5X0Vnc3hYTTZCWVpyM0tjZWhNSzlERzdZQXpXdDdsdnF6NXJRODhtUkllOVk5S1BYZ2dURExEMG82OXNLcnlFUHQ0cFR3VW1MbUNIeFFPQQ?oc=5,"한동훈 “신약 로비, ‘민주당 오빠들 게이트’”…김승원 이어 최재성 녹취도 hani.co.kr ""한동훈, 수사자료를 어떻게? 형사처벌 감"" 김승원 반격 JTBC [이현상의 시시각각] ‘사법 리스크 닮은꼴’ 장관 후보자 v.daum.net 검찰, ‘김승원 식약처 청탁’ 수사 때 ‘디넷’ 활용 불법 수사 정황 뉴스타파 송영길 ""韓, 모르는 사람 진술로 명예훼손""…최재성 ""삼류영화""(종합) 연합뉴스",주요 뉴스 - Google 뉴스,기타,2026-09-07T11:06:00+00:00,221,cleaned,2026-09-08T02:48:32,2026-09-08T02:48:32
40,10,"한국어로 “호르무즈 파병, 침략 행위 공모”…이란 또 경고 - hani.co.kr",https://news.google.com/rss/articles/CBMidEFVX3lxTE50NWQ3d0FBZlI5TGVIaHBXbUZyMW1PRXpaSjNLaG5PU1BRWVU3SlJfaHgzRWp2T0d2SXVWSkNFMm92T1VKU21ERFFjZjhnYUk4VVozNzA3VDM5MjdybGtzX18tdDhudWktY2ktNmZEclE2RHVK?oc=5,"한국어로 “호르무즈 파병, 침략 행위 공모”…이란 또 경고 hani.co.kr 이란, 한글로 ""대가 따를 것""…‘파병 고심’ 드러낸 이 대통령 JTBC 한글로 ""심각한 결과 부를 것"" 이란 공개 경고 v.daum.net 이란, 한글로 한국 겨냥 ""호르무즈 군사개입시 심각한 결과""(종합2보) 연합뉴스 [사진] 한글로 한국에 경고한 이란 v.daum.net",주요 뉴스 - Google 뉴스,기타,2026-09-07T12:11:00+00:00,198,cleaned,2026-09-08T02:48:32,2026-09-08T02:48:32
41,11,"용혜인, 과거 본인이 징계안 냈던 의원들에게 이번엔 검증받는다 - 경기일보",https://news.google.com/rss/articles/CBMiW0FVX3lxTFBMRHBEbGxIQjBuWVVDX2hGUFRRS0pKWGhYalJoQ1RMeG1zaWVBSl9OY0wyTkpQaHBXYmloV3ZSUTZnd2JTdm1tX1pnWU9vdzQ3UFQ3VnpCT1pCSjQ?oc=5,"용혜인, 과거 본인이 징계안 냈던 의원들에게 이번엔 검증받는다 경기일보 기본소득당 ""용혜인 겸직 해야…선례 없다고? 새로운 선례 만들 것"" v.daum.net [서울광장] 고위공직자에게 필요한 공정이란 seoul.co.kr 용혜인黨, 비례의원직 사퇴 일축…“새로운 선례 만들어지는 것” 동아일보 용혜인 “성차별 묵인 의혹 청문회서 답변” KBS 뉴스",주요 뉴스 - Google 뉴스,기타,2026-09-07T12:37:53+00:00,195,cleaned,2026-09-08T02:48:32,2026-09-08T02:48:32
42,12,대미투자 1호는 ‘30조 텍사스 가스발전소’…원전 8기도 검토 - hani.co.kr,https://news.google.com/rss/articles/CBMidEFVX3lxTE1kQVJnM0pSaXlaclNpLUQ5cHZDSWotbEN1SDMxNjlJS1kySnFBYzVBaUIyWW1USnNLc1VGUENwNVNRSTdPSDlFNk44bTkyUlpMQ280X2lJX1VMMVRQdHVHdWFWTlR1LVdMa0h4dFFyUjkyT0My?oc=5,"대미투자 1호는 ‘30조 텍사스 가스발전소’…원전 8기도 검토 hani.co.kr (설명자료)대미투자 관련, 제1호 프로젝트는 확정된 바가 없습니다 대한민국 정책브리핑 대미투자 1호는 30조원 텍사스 가스발전소 seoul.co.kr '초대형 잭팟일까, 바가지일까'…美에 20조 원전 8기 짓는 韓 hankyung.com 대미투자 1호는 가스발전소... 대형 원전 8기 건설도 유력 chosun.com",주요 뉴스 - Google 뉴스,기타,2026-09-07T13:09:00+00:00,223,cleaned,2026-09-08T02:48:32,2026-09-08T02:48:32
43,13,李대통령 지지도 37.4%로 또 최저치…서울·2030 지지율 20%대[리얼미터](종합) - 연합뉴스,https://news.google.com/rss/articles/CBMiW0FVX3lxTFBySmMtekUtcFU1NkJEYmRneGUtaGVUZldOcFNiOUFuS3FwY013R0lfT29FYTlvWU9NYWUxbzJBTktxcXl3bi1BMTRqa3pVdGJ3R0dxN2NqOGxGZE3SAWBBVV95cUxOUFBWRWF2V2JiSzF1VDRfUDNISFU2eWs1Tjd0R083VDB6R0hTbmVhZFRMSENOaS05b0xQVEZ1ZWxXYjE4b0liZVJIMFZaSlY1d1NQeXJxNjg5MlZxb0E3SGo?oc=5,"李대통령 지지도 37.4%로 또 최저치…서울·2030 지지율 20%대[리얼미터](종합) 연합뉴스 김어준의 ‘꽃’, “李 잘한다” 47.1% 8연속 하락 최저…‘개각 잘못’ 55% 과반 v.daum.net 김어준 “대통령 지지, 한달내 20%대 가능성” 문화일보 대통령 지지율 하락에, 김어준 “한달 내 20%대 가능” 조국 “지지층 마음 건드려” 주간경향 이 대통령 지지율 8주 연속 하락…김어준 ""20%대 추락 가능"" JTBC",주요 뉴스 - Google 뉴스,기타,2026-09-07T00:28:04+00:00,239,cleaned,2026-09-08T02:48:32,2026-09-08T02:48:32
44,14,"[단독]“‘장모 찬스’ 영끌매수 홍지선, 이자소득세 안 낸 의혹” - 동아일보",https://news.google.com/rss/articles/CBMid0FVX3lxTFA4ZGhLRl9FV1dmNkd4NFp6UTJNWW4tSmI5UDdvY3NvSmRQLVFCbnd4YlVZSUhsNm9LQlVqeEQzOTMxQjF1MWhFRjBmV2VsVjFrRV9MRDF0djFEQ1FhYjVCSGRBb2tDRGZMQ3NzbWcwNGRPMWV3UHVB0gFmQVVfeXFMTlVQOVNNYlBLaWpfTWcxaFpfc0liU2wta0I4dVkwUnB1YzFkbDVydkhQbWhzZGl4TDRBQlZUTWJxcjZncmhCWnN1QkFqMF9NNnNVQ294NlZpTkNUd05zLXl4blpyS1Rn?oc=5,"[단독]“‘장모 찬스’ 영끌매수 홍지선, 이자소득세 안 낸 의혹” 동아일보 정점식 “국토장관 후보자, 성남·경기라인의 부동산정책 점령” v.daum.net “성남 라인이 개각 주도했나”…‘李 측근’ 겨누는 국힘 부산일보 홍지선 장관행에 빈 국토부 2차관…후임은 내부냐 외부냐 news1.kr [단독] 장관 후보자들 서울 아파트 李정부 1년만에 27% 뛰었다 서울경제",주요 뉴스 - Google 뉴스,기타,2026-09-07T08:15:00+00:00,204,cleaned,2026-09-08T02:48:32,2026-09-08T02:48:32
45,15,"러시아 “독일, 다시 전쟁 원하나”…‘공항 폭탄 드론’ 배후 지목에 반발 - hani.co.kr",https://news.google.com/rss/articles/CBMiggFBVV95cUxPTDd3Nk54OG1JZHV0WlFjdEYwRzdRVkE1cVpuTEZiSVE3OFI3WENMVjNwWmJGTllVSVFPb3M4X1ZsTVRscjhRdDNXT2MtOVZ0NmRwX2gwcVNLeHJ4bXBGZDVMSVVYZzRZcXY0REZTRmZHTWRuTHI3bk9xcVpfS2xiZ0FB?oc=5,"러시아 “독일, 다시 전쟁 원하나”…‘공항 폭탄 드론’ 배후 지목에 반발 hani.co.kr ""독일, 전쟁 원한다…사실상 선포"" 세계대전까지 거론됐다는데, 무슨 일 v.daum.net 러, 상트페테르부르크 獨 총영사관 폐쇄…드론 갈등 '점입가경' news1.kr ""유럽, 러 하이브리드 전쟁 억제 실패"" 연합뉴스 “사실상 선전포고”…독일, 러 하이브리드 공격 막는 ‘드론 방어 부대’ 배치 [핫이슈] nownews.seoul.co.kr",주요 뉴스 - Google 뉴스,기타,2026-09-07T09:12:00+00:00,243,cleaned,2026-09-08T02:48:32,2026-09-08T02:48:32
46,16,"대한체육회·경찰, 충돌 없이 핸드볼경기장 진입…봉쇄시위 95일만 - 연합뉴스TV",https://news.google.com/rss/articles/CBMiZ0FVX3lxTE8xNWdoaDRsbGoyS29IS0xTVXhjYlFpM0NzTUtjbGJGMEstTXZLMThFUUNrS19GcVVYanZybVlVcFNMbXhvb1N6TGFkLV9fT2VfWi0zbkxFRnIxQ1JJZGNRU3ZVX2xZMUk?oc=5,"대한체육회·경찰, 충돌 없이 핸드볼경기장 진입…봉쇄시위 95일만 연합뉴스TV [속보] 대한체육회, '개표소 봉쇄' 95일만 핸드볼경기장 진입 성공 MBC 뉴스 올림픽공원 핸드볼경기장서 선거용품 확인하는 장동혁 국민의힘 대표 [TF사진관] v.daum.net [속보]장동혁, 경찰 진입 ‘올공 경기장’ 현장 도착…경기장 내로 들어가 경향신문 자료 반출하는 대한체육회 산하 9개 종목 단체 관계자들 뉴시스",주요 뉴스 - Google 뉴스,기타,2026-09-08T01:11:00+00:00,224,cleaned,2026-09-08T02:48:32,2026-09-08T02:48:32
47,17,[스팟+터뷰] 이기헌 민주당 의원 “파병은 헌법과 국익에 맞지 않아…트럼프에 멈추라고 이야기할 때가 됐다” - 경향신문,https://news.google.com/rss/articles/CBMiWkFVX3lxTE1uMGJlYjNYWlFpT1FWVFlpWC0yTmhpbHR0bGkyaE1rSTRDZlpRZHJPWDB0VWVVNlY0bjFWUUw3eEpPcFlSMkR1d2hrQmJ2X2xxblM3VEpvMUdEd9IBX0FVX3lxTE5QWHp1TXdjWmczSXkyN3pFR0djUlh3RGIyX1FINDRBOFhMTXNmZlFNelJSV0ZJYnBPWWFwd1E2R0M0c1NVQ0g0NTVPSVliaFVfYlFNdFFPaHh5WWl5c3BN?oc=5,"[스팟+터뷰] 이기헌 민주당 의원 “파병은 헌법과 국익에 맞지 않아…트럼프에 멈추라고 이야기할 때가 됐다” 경향신문 이란, 한글로 한국 겨냥 ""호르무즈 군사개입시 심각한 결과""(종합2보) 연합뉴스 [기고]한국군 호르무즈 파병, 공격작전 불참·한국 생명선 지키기가 기준 돼야…김태준의 美·이란戰 중계 문화일보 호르무즈 기여 시기 놓치고 운신 폭 축소 … 외교·안보·경제까지 번진 청구서 뉴데일리 [월드앤이슈] 이란, '한글'로 파병 경고…美노동절 기름값 최고치 v.daum.net",주요 뉴스 - Google 뉴스,기타,2026-09-07T21:00:00+00:00,267,cleaned,2026-09-08T02:48:32,2026-09-08T02:48:32
48,18,"靑, 김승원·용혜인 그대로 간다… ""청문회 거쳐야"" - 조선일보",https://news.google.com/rss/articles/CBMikAFBVV95cUxNakNudnBULXdHUTczVEhZYk04SC1JNzgtV2p3bXlxMFZXNGktTUZFb2d6NWc0cFBqcDBYYVhLUU1OQmppTjFYb1ZvM2ViTFFLcGRLNER5amJhczNyUWV0NDZJRXYtTlE3b09ybFZlaFNjUy1LSkdZX0dCZjM1TTUzcVFzQVhWQlZtSVZ1Yk1sVkE?oc=5,"靑, 김승원·용혜인 그대로 간다… ""청문회 거쳐야"" 조선일보 김승원·용혜인 지명 철회 선 그은 청와대 “인사청문회 거쳐야” 경향신문 김민석 “공항서 李대통령에 ‘용혜인 부적격’ 전달? 사실과 달라” 문화일보 반복되는 인사 논란에 경향신문 “‘명픽’ 거스르지 못했기 때문 아니냐” 미디어오늘 靑 “與 지도부가 용혜인 부적격 의견 전달한 바 없어” 동아일보",주요 뉴스 - Google 뉴스,기타,2026-09-07T20:39:00+00:00,197,cleaned,2026-09-08T02:48:32,2026-09-08T02:48:32
